Squad,ScoreHome,ScoreAway,Age,Goals90min,NonPenaltyGoals,PenaltyKicksMade,YellowCards,RedCards,RankingPlace,GoalFor,GoalAgainst,GoalDifference,Pts,Top Team Scorer Goals,SquadT
Arna-Bjørnar,2.272727272727273,1.1818181818181819,22.099999999999998,38.333333333333336,37.666666666666664,0.6666666666666666,15.0,1.0,6.0,39.333333333333336,31.666666666666668,7.666666666666667,32.333333333333336,9.666666666666666,0.0
Avaldsnes,2.0,1.2727272727272727,24.633333333333336,37.666666666666664,35.0,2.6666666666666665,21.666666666666668,1.3333333333333333,5.333333333333333,38.333333333333336,29.333333333333332,9.0,34.333333333333336,8.333333333333334,1.0
Fart,0.7272727272727273,2.5454545454545454,21.9,14.0,13.0,1.0,15.0,0.0,12.0,14.0,60.0,-46.0,10.0,4.0,2.0
Grand Bodø,1.1818181818181819,2.7727272727272725,23.049999999999997,24.5,23.5,1.0,17.5,0.0,11.5,25.0,70.5,-45.5,8.0,8.0,3.0
Klepp,2.090909090909091,0.7272727272727273,24.53333333333333,40.0,38.333333333333336,1.6666666666666667,12.666666666666666,0.6666666666666666,3.0,40.333333333333336,21.333333333333332,19.0,44.0,11.333333333333334,4.0
Kolbotn,1.6363636363636365,1.8181818181818181,21.633333333333336,28.333333333333332,26.666666666666668,1.6666666666666667,9.666666666666666,0.3333333333333333,7.666666666666667,28.666666666666668,39.0,-10.333333333333334,27.0,7.333333333333333,5.0
LSK Kvinner,3.3636363636363638,0.6363636363636364,24.53333333333333,61.666666666666664,57.666666666666664,4.0,7.666666666666667,0.0,1.0,63.333333333333336,17.0,46.333333333333336,56.666666666666664,17.0,6.0
Lyn,1.4886363636363638,1.9280303030303032,19.950000000000003,24.5,23.0,1.5,19.5,0.0,10.5,25.0,46.5,-21.5,16.0,9.5,7.0
Medkila,0.45454545454545453,2.727272727272727,20.9,9.0,9.0,0.0,13.0,2.0,12.0,9.0,69.0,-60.0,5.0,3.0,8.0
Røa,2.272727272727273,1.5454545454545454,22.8,40.333333333333336,38.333333333333336,2.0,25.666666666666668,0.6666666666666666,6.0,41.333333333333336,35.0,6.333333333333333,32.666666666666664,15.666666666666666,9.0
Sandviken,2.1818181818181817,1.3636363636363635,25.366666666666664,35.333333333333336,34.333333333333336,1.0,11.666666666666666,0.3333333333333333,5.666666666666667,36.0,31.666666666666668,4.333333333333333,32.333333333333336,12.666666666666666,10.0
Stabæk,1.5454545454545454,1.1818181818181819,24.599999999999998,29.666666666666668,29.333333333333332,0.3333333333333333,7.666666666666667,0.0,7.333333333333333,30.333333333333332,34.333333333333336,-4.0,26.333333333333332,9.666666666666666,11.0
Trondheims-Ørn,1.2727272727272727,1.3636363636363635,21.933333333333334,29.0,28.0,1.0,13.333333333333334,0.6666666666666666,8.333333333333334,29.0,35.333333333333336,-6.333333333333333,25.666666666666668,9.0,12.0
Vålerenga,1.6363636363636365,1.2727272727272727,25.53333333333333,38.333333333333336,36.666666666666664,1.6666666666666667,20.666666666666668,1.3333333333333333,5.0,38.666666666666664,30.666666666666668,8.0,37.666666666666664,9.0,13.0
